,city,event,stage,dates,match_type,match_type_number,player_of_match,winner,winner_by,overs,season,team_type,team1,team2,toss_winner,toss_decision,venue
186,Abu Dhabi,Pakistan v South Africa T20I Series,,2010-10-26,T20,190,JP Duminy,South Africa,{'wickets': 6},20,2010/11,international,Pakistan,South Africa,Pakistan,bat,Sheikh Zayed Stadium
187,St Lucia,,,2011-04-21,T20,199,D Bishoo,West Indies,{'runs': 7},20,2011,international,West Indies,Pakistan,West Indies,bat,"Beausejour Stadium, Gros Islet"
188,,Pakistan in Zimbabwe T20I Series,,2011-09-16,T20,205,Mohammad Hafeez,Pakistan,{'runs': 85},20,2011,international,Zimbabwe,Pakistan,Zimbabwe,field,Harare Sports Club
189,,Pakistan in Zimbabwe T20I Series,,2011-09-18,T20,206,Mohammad Hafeez,Pakistan,{'runs': 5},20,2011,international,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
190,Abu Dhabi,,,2011-11-25,T20,215,Aizaz Cheema,Pakistan,{'wickets': 5},20,2011/12,international,Pakistan,Sri Lanka,Sri Lanka,bat,Sheikh Zayed Stadium
191,,Pakistan v England T20I Series,,2012-02-23,T20,226,Umar Gul,Pakistan,{'runs': 8},20,2011/12,international,England,Pakistan,England,field,Dubai International Cricket Stadium
192,,Pakistan v England T20I Series,,2012-02-25,T20,228,JM Bairstow,England,{'runs': 38},20,2011/12,international,England,Pakistan,England,bat,Dubai International Cricket Stadium
193,Abu Dhabi,Pakistan v England T20I Series,,2012-02-27,T20,229,KP Pietersen,England,{'runs': 5},20,2011/12,international,England,Pakistan,England,bat,Sheikh Zayed Stadium
194,,ICC World Twenty20,,2012-09-23,T20,271,Nasir Jamshed,Pakistan,{'runs': 13},20,2012/13,international,New Zealand,Pakistan,Pakistan,bat,Pallekele International Cricket Stadium
195,,ICC World Twenty20,,2012-09-25,T20,274,Imran Nazir,Pakistan,{'wickets': 8},20,2012/13,international,Bangladesh,Pakistan,Bangladesh,bat,Pallekele International Cricket Stadium
196,Colombo,ICC World Twenty20,,2012-09-28,T20,277,Umar Gul,Pakistan,{'wickets': 2},20,2012/13,international,Pakistan,South Africa,South Africa,bat,R Premadasa Stadium
